time,u_numerical,u_exact
1.25,-0.446704,0
1.25391,-0.449651,0
1.25781,-0.452695,0
1.26172,-0.455529,0
1.26562,-0.457828,0
1.26953,-0.459685,0
1.27344,-0.461571,0
1.27734,-0.463755,0
1.28125,-0.465922,0
1.28516,-0.467517,0
1.28906,-0.468448,0
1.29297,-0.469226,0
1.29688,-0.470362,0
1.30078,-0.471741,0
1.30469,-0.472765,0
1.30859,-0.473046,0
1.3125,-0.472824,0
1.31641,-0.472661,0
1.32031,-0.472817,0
1.32422,-0.473026,0
1.32812,-0.472846,0
1.33203,-0.47212,0
1.33594,-0.471036,0
1.33984,-0.469857,0
1.34375,-0.468697,0
1.34766,-0.467544,0
1.35156,-0.466319,0
1.35547,-0.464846,0
1.35938,-0.462907,0
1.36328,-0.460493,0
1.36719,-0.457933,0
1.37109,-0.455599,0
1.375,-0.45346,0
1.37891,-0.451083,0
1.38281,-0.448117,0
1.38672,-0.444664,0
1.39062,-0.441087,0
1.39453,-0.437593,0
1.39844,-0.434126,0
1.40234,-0.430562,0
1.40625,-0.426809,0
1.41016,-0.422752,0
1.41406,-0.418288,0
1.41797,-0.41351,0
1.42188,-0.408707,0
1.42578,-0.40408,0
1.42969,-0.39949,0
1.43359,-0.3946,0
1.4375,-0.389245,0
1.44141,-0.38357,0
1.44531,-0.377836,0
1.44922,-0.372177,0
1.45312,-0.366561,0
1.45703,-0.360893,0
1.46094,-0.355048,0
1.46484,-0.348888,0
1.46875,-0.342362,0
1.47266,-0.335653,0
1.47656,-0.329141,0
1.48047,-0.323112,0
1.48438,-0.317528,0
1.48828,-0.312107,0
1.49219,-0.306617,0
1.49609,-0.301044,0
1.5,-0.295524,0
1.50391,-0.290279,0
1.50781,-0.285675,0
1.51172,-0.282202,0
1.51562,-0.280237,0
1.51953,-0.279818,0
1.52344,-0.280693,0
1.52734,-0.282515,0
1.53125,-0.28486,0
1.53516,-0.287095,0
1.53906,-0.288463,0
1.54297,-0.288427,0
1.54688,-0.286894,0
1.55078,-0.284097,0
1.55469,-0.280387,0
1.55859,-0.276183,0
1.5625,-0.271939,0
1.56641,-0.267921,0
1.57031,-0.264001,0
1.57422,-0.259798,0
1.57812,-0.255044,0
1.58203,-0.249741,0
1.58594,-0.244016,0
1.58984,-0.23798,0
1.59375,-0.231757,0
1.59766,-0.225489,0
1.60156,-0.219178,0
1.60547,-0.212615,0
1.60938,-0.205566,0
1.61328,-0.198,0
1.61719,-0.190065,0
1.62109,-0.18189,0
1.625,-0.173514,0
1.62891,-0.164972,0
1.63281,-0.156318,0
1.63672,-0.147536,0
1.64062,-0.138507,0
1.64453,-0.129143,0
1.64844,-0.119483,0
1.65234,-0.109614,0
1.65625,-0.099551,0
1.66016,-0.0892597,0
1.66406,-0.0787661,0
1.66797,-0.0681626,0
1.67188,-0.0574957,0
1.67578,-0.0467133,0
1.67969,-0.0357445,0
1.68359,-0.0245746,0
1.6875,-0.01321,0
1.69141,-0.00162722,0
1.69531,0.0101736,0
1.69922,0.0220916,0
1.70312,0.0339819,0
1.70703,0.0458052,0
1.71094,0.057669,0
1.71484,0.0697026,0
1.71875,0.0819463,0
1.72266,0.094379,0
1.72656,0.106973,0
1.73047,0.119658,0
1.73438,0.132289,0
1.73828,0.144759,0
1.74219,0.157132,0
1.74609,0.169592,0
1.75,0.182253,0
1.75391,0.195081,0
1.75781,0.207987,0
1.76172,0.220911,0
1.76562,0.233768,0
1.76953,0.24645,0
1.77344,0.258952,0
1.77734,0.271428,0
1.78125,0.28404,0
1.78516,0.296786,0
1.78906,0.309543,0
1.79297,0.322226,0
1.79688,0.334808,0
1.80078,0.34724,0
1.80469,0.359475,0
1.80859,0.371579,0
1.8125,0.383702,0
1.81641,0.395893,0
1.82031,0.408047,0
1.82422,0.420054,0
1.82812,0.431909,0
1.83203,0.443632,0
1.83594,0.455183,0
1.83984,0.466539,0
1.84375,0.477776,0
1.84766,0.488973,0
1.85156,0.500087,0
1.85547,0.511016,0
1.85938,0.521748,0
1.86328,0.532341,0
1.86719,0.542791,0
1.87109,0.553023,0
1.875,0.563019,0
1.87891,0.572841,0
1.88281,0.582515,0
1.88672,0.591994,0
1.89062,0.601255,0
1.89453,0.610354,0
1.89844,0.619316,0
1.90234,0.628059,0
1.90625,0.636489,0
1.91016,0.644618,0
1.91406,0.652516,0
1.91797,0.660211,0
1.92188,0.667695,0
1.92578,0.674994,0
1.92969,0.682136,0
1.93359,0.689054,0
1.9375,0.695624,0
1.94141,0.701802,0
1.94531,0.707662,0
1.94922,0.713298,0
1.95312,0.71874,0
1.95703,0.723989,0
1.96094,0.729043,0
1.96484,0.733855,0
1.96875,0.738311,0
1.97266,0.742333,0
1.97656,0.745965,0
1.98047,0.749334,0
1.98438,0.75252,0
1.98828,0.755521,0
1.99219,0.758298,0
1.99609,0.760794,0
2,0.762926,0
2.00391,0.764625,0
2.00781,0.765915,0
2.01172,0.766906,0
2.01562,0.767693,0
2.01953,0.768281,0
2.02344,0.768623,0
2.02734,0.768679,0
2.03125,0.768398,0
2.03516,0.767698,0
2.03906,0.766546,0
2.04297,0.765039,0
2.04688,0.763343,0
2.05078,0.761516,0
2.05469,0.759442,0
2.05859,0.756969,0
2.0625,0.754077,0
2.06641,0.750857,0
2.07031,0.747374,0
2.07422,0.743591,0
2.07812,0.739439,0
2.08203,0.734934,0
2.08594,0.730194,0
2.08984,0.72532,0
2.09375,0.720244,0
2.09766,0.714742,0
2.10156,0.708658,0
2.10547,0.702139,0
2.10938,0.695539,0
2.11328,0.689006,0
2.11719,0.682248,0
2.12109,0.674857,0
2.125,0.666839,0
2.12891,0.658655,0
2.13281,0.650647,0
2.13672,0.64258,0
2.14062,0.633921,0
2.14453,0.62451,0
2.14844,0.61476,0
2.15234,0.605158,0
2.15625,0.595706,0
2.16016,0.585963,0
2.16406,0.575565,0
2.16797,0.564603,0
2.17188,0.553475,0
2.17578,0.542439,0
2.17969,0.531369,0
2.18359,0.519944,0
2.1875,0.508017,0
2.19141,0.495747,0
2.19531,0.483378,0
2.19922,0.470983,0
2.20312,0.458461,0
2.20703,0.445693,0
2.21094,0.432599,0
2.21484,0.41912,0
2.21875,0.4053,0
2.22266,0.391393,0
2.22656,0.377677,0
2.23047,0.364088,0
2.23438,0.350179,0
2.23828,0.335598,0
2.24219,0.320513,0
2.24609,0.305427,0
2.25,0.290621,0
2.25391,0.275934,0
2.25781,0.261053,0
2.26172,0.245833,0
2.26562,0.230295,0
2.26953,0.2145,0
2.27344,0.198569,0
2.27734,0.182694,0
2.28125,0.16698,0
2.28516,0.151279,0
2.28906,0.135314,0
2.29297,0.118987,0
2.29688,0.102483,0
2.30078,0.0860552,0
2.30469,0.0697672,0
2.30859,0.0534699,0
2.3125,0.0369937,0
2.31641,0.0203193,0
2.32031,0.00357136,0
2.32422,-0.0131204,0
2.32812,-0.0297284,0
2.33203,-0.0463099,0
2.33594,-0.0629316,0
2.33984,-0.0796458,0
2.34375,-0.0964935,0
2.34766,-0.113442,0
2.35156,-0.130323,0
2.35547,-0.146944,0
2.35938,-0.163321,0
2.36328,-0.179721,0
2.36719,-0.196378,0
2.37109,-0.21323,0
2.375,-0.230016,0
2.37891,-0.246571,0
2.38281,-0.262909,0
2.38672,-0.27908,0
2.39062,-0.295121,0
2.39453,-0.311152,0
2.39844,-0.327341,0
2.40234,-0.34367,0
2.40625,-0.359858,0
2.41016,-0.375648,0
2.41406,-0.391088,0
2.41797,-0.406429,0
2.42188,-0.421808,0
2.42578,-0.437162,0
2.42969,-0.452414,0
2.43359,-0.467549,0
2.4375,-0.482511,0
2.44141,-0.497181,0
2.44531,-0.511545,0
2.44922,-0.525756,0
2.45312,-0.539936,0
2.45703,-0.553984,0
2.46094,-0.567683,0
2.46484,-0.580948,0
2.46875,-0.59389,0
2.47266,-0.606644,0
2.47656,-0.619232,0
2.48047,-0.631582,0
2.48438,-0.643575,0
2.48828,-0.655016,0
2.49219,-0.665661,0
2.49609,-0.675368,0
2.5,-0.684233,0
2.50391,-0.692521,0
2.50781,-0.700423,0
2.51172,-0.707893,0
2.51562,-0.714685,0
2.51953,-0.720492,0
2.52344,-0.72505,0
2.52734,-0.728188,0
2.53125,-0.729899,0
2.53516,-0.730423,0
2.53906,-0.730232,0
2.54297,-0.729887,0
2.54688,-0.729907,0
2.55078,-0.730744,0
2.55469,-0.73279,0
2.55859,-0.736268,0
2.5625,-0.741058,0
2.56641,-0.746682,0
2.57031,-0.752515,0
2.57422,-0.758033,0
2.57812,-0.762914,0
2.58203,-0.767071,0
2.58594,-0.770681,0
2.58984,-0.774148,0
2.59375,-0.777867,0
2.59766,-0.781944,0
2.60156,-0.786171,0
2.60547,-0.79026,0
2.60938,-0.794053,0
2.61328,-0.79753,0
2.61719,-0.800751,0
2.62109,-0.803872,0
2.625,-0.807122,0
2.62891,-0.810626,0
2.63281,-0.814245,0
2.63672,-0.817688,0
2.64062,-0.820769,0
2.64453,-0.823497,0
2.64844,-0.82595,0
2.65234,-0.828176,0
2.65625,-0.83026,0
2.66016,-0.832334,0
2.66406,-0.834438,0
2.66797,-0.836438,0
2.67188,-0.838163,0
2.67578,-0.83958,0
2.67969,-0.840749,0
2.68359,-0.841672,0
2.6875,-0.842292,0
2.69141,-0.842639,0
2.69531,-0.842835,0
2.69922,-0.842941,0
2.70312,-0.842883,0
2.70703,-0.842576,0
2.71094,-0.842013,0
2.71484,-0.841182,0
2.71875,-0.839985,0
2.72266,-0.838359,0
2.72656,-0.836401,0
2.73047,-0.834293,0
2.73438,-0.832101,0
2.73828,-0.829747,0
2.74219,-0.827131,0
